Mfg_Part_Num,ai_used,overall_confidence,needs_human_review,distributor_detected,n_attributes,review_reasons
DCB518ASTS06G,False,0.61,False,False,1,MOBILE_DESC is 38 chars (target 60-80).
3MABR-7100075678,False,0.43,True,True,0,"Part_Manuf 'Jam Industrial Supply LLC' looks like a distributor, not a manufacturer — withheld and flagged. | MOBILE_DESC is 35 chars (target 60-80). | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Jam Industrial Supply LLC' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
3MABR-7100045865,False,0.43,True,True,0,"Part_Manuf 'Jam Industrial Supply LLC' looks like a distributor, not a manufacturer — withheld and flagged. | MOBILE_DESC is 35 chars (target 60-80). | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Jam Industrial Supply LLC' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
3MABR-7100048736,False,0.43,True,True,0,"Part_Manuf 'Jam Industrial Supply LLC' looks like a distributor, not a manufacturer — withheld and flagged. | MOBILE_DESC is 35 chars (target 60-80). | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Jam Industrial Supply LLC' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
3MABR-7100075690,False,0.43,True,True,0,"Part_Manuf 'Jam Industrial Supply LLC' looks like a distributor, not a manufacturer — withheld and flagged. | MOBILE_DESC is 35 chars (target 60-80). | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Jam Industrial Supply LLC' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
3MABR-7100075692,False,0.43,True,True,0,"Part_Manuf 'Jam Industrial Supply LLC' looks like a distributor, not a manufacturer — withheld and flagged. | MOBILE_DESC is 35 chars (target 60-80). | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Jam Industrial Supply LLC' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
3MABR-7100145365,False,0.43,True,True,0,"Part_Manuf 'Jam Industrial Supply LLC' looks like a distributor, not a manufacturer — withheld and flagged. | MOBILE_DESC is 35 chars (target 60-80). | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Jam Industrial Supply LLC' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
5B-332-080,False,0.19,True,False,0,Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 31 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment.
5B-332-120,False,0.19,True,False,0,Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 31 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment.
9A-570-240,False,0.27,True,False,1,Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 32 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review.
9A-570-320,False,0.27,True,False,1,Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 32 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review.
DBD090094101F,False,0.53,True,False,0,MOBILE_DESC is 42 chars (target 60-80). | No attributes extracted — description too sparse or needs enrichment.
DBDS12125A01F,False,0.53,True,False,0,MOBILE_DESC is 43 chars (target 60-80). | No attributes extracted — description too sparse or needs enrichment.
DBDS12125G01F,False,0.61,False,False,1,MOBILE_DESC is 43 chars (target 60-80).
DBDS14125A01F,False,0.61,False,False,1,MOBILE_DESC is 43 chars (target 60-80).
DBDS14125G01F,False,0.61,False,False,1,MOBILE_DESC is 43 chars (target 60-80).
49-94-0013,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0029,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0033,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0001,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0039,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0043,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0048,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
